accid,gene,uniprot_id,gene_synonym,gene_orfname,reviewed
A0A286YEY9,SCYGR1,SCGR1_HUMAN,KRTAP28-1,none,Y
A0A286YF01,SCYGR7,SCGR7_HUMAN,KRTAP28-7,none,Y
A0A286YF46,SCYGR5,SCGR5_HUMAN,KRTAP28-5,none,Y
A0A286YF58,TMEM271,TM271_HUMAN,none,none,Y
A0A286YF60,SCYGR3,SCGR3_HUMAN,KRTAP28-3,none,Y
A0A286YF77,SCYGR6,SCGR6_HUMAN,KRTAP28-6,none,Y
A0A286YFB4,SCYGR2,SCGR2_HUMAN,KRTAP28-2,none,Y
A0A286YFG1,SCYGR8,SCGR8_HUMAN,KRTAP28-8,none,Y
A0A286YFK9,SMIM38,SIM38_HUMAN,none,none,Y
A0A2R8Y4Y8,OOSP4B,OSP4B_HUMAN,none,none,Y
A0A2R8YCJ5,SMIM41,SIM41_HUMAN,none,none,Y
A0A2R8YFL7,OOSP4A,OSP4A_HUMAN,none,none,Y
A0A2R8YFM6,OOSP3,OOSP3_HUMAN,none,none,Y
A0A2Z4LIS9,FOXO3B,FXO3B_HUMAN,none,none,Y
A0A539,TRBV4-2,TVB42_HUMAN,TCRBV7S3A2T,none,Y
A0A539,TRBV4-2,TVB42_HUMAN,TCRBV7S3A2,none,Y
A0A576,TRBV3-1,TVB31_HUMAN,TCRBV9S1A1T,none,Y
A0A577,TRBV4-1,TVB41_HUMAN,TCRBV7S1A1N2T,none,Y
A0A578,TRBV5-1,TVB51_HUMAN,TCRBV5S1A1T,none,Y
A0A584,TRBV11-2,TVBK2_HUMAN,TCRBV21S3A2N2T,none,Y
A0A589,TRBV4-3,TVB43_HUMAN,TCRBV7S2A1N4T,none,Y
A0A597,TRBV5-5,TVB55_HUMAN,TCRBV5S3A2T,none,Y
A0A599,TRBV5-6,TVB56_HUMAN,TCRBV5S2,none,Y
A0A5A2,TRBV5-8,TVB58_HUMAN,TCRBV5S4A2T,none,Y
A0A5A6,TRBV11-3,TVBK3_HUMAN,TCRBV21S2A2,none,Y
A0A5B0,TRBV14,TVB14_HUMAN,TCRBV16S1A1N1,none,Y
A0A5B0,TRBV14,TVB14_HUMAN,TCRBV14S1,none,Y
A0A5B6,TRBV28,TVB28_HUMAN,TCRBV3S1,none,Y
A0A5B7,TRBV29-1,TVB29_HUMAN,TCRBV4S1A1T,none,Y
A0A5B9,TRBC2,TRBC2_HUMAN,TCRBC2,none,Y
A0AUZ9,KANSL1L,KAL1L_HUMAN,C2orf67,none,Y
A0AV02,SLC12A8,S12A8_HUMAN,CCC9,none,Y
A0AV96,RBM47,RBM47_HUMAN,none,none,Y
A0AVF1,TTC26,IFT56_HUMAN,IFT56,none,Y
A0AVI2,FER1L5,FR1L5_HUMAN,none,none,Y
A0AVI4,TMEM129,TM129_HUMAN,none,none,Y
A0AVK6,E2F8,E2F8_HUMAN,none,none,Y
A0AVT1,UBA6,UBA6_HUMAN,MOP4,none,Y
A0AVT1,UBA6,UBA6_HUMAN,UBE1L2,none,Y
A0FGR8,ESYT2,ESYT2_HUMAN,KIAA1228,none,Y
A0FGR8,ESYT2,ESYT2_HUMAN,FAM62B,none,Y
A0FGR9,ESYT3,ESYT3_HUMAN,FAM62C,none,Y
A0JD32,TRAV38-2DV8,TV382_HUMAN,none,none,Y
A0JD36,TRDV2,TRDV2_HUMAN,hDV102S1,none,Y
A0JD37,TRDV3,TRDV3_HUMAN,hDV103S1,none,Y
A0JLT2,MED19,MED19_HUMAN,LCMR1,none,Y
A0JNW5,UHRF1BP1L,UH1BL_HUMAN,SHIP164,none,Y
A0JNW5,UHRF1BP1L,UH1BL_HUMAN,KIAA0701,none,Y
A0JP26,POTEB3,POTB3_HUMAN,none,none,Y
A0M8Q6,IGLC7,IGLC7_HUMAN,none,none,Y
A0MZ66,SHTN1,SHOT1_HUMAN,KIAA1598,none,Y
A0PG75,PLSCR5,PLS5_HUMAN,none,none,Y
A0PJE2,DHRS12,DHR12_HUMAN,SDR40C1,none,Y
A0PJK1,SLC5A10,SC5AA_HUMAN,SGLT5,none,Y
A0PJW6,TMEM223,TM223_HUMAN,none,none,Y
A0PJW8,DAPL1,DAPL1_HUMAN,EEDA,none,Y
A0PJX0,CIB4,CIB4_HUMAN,none,none,Y
A0PJX2,TLDC2,TLDC2_HUMAN,none,none,Y
A0PJX4,SHISA3,SHSA3_HUMAN,none,none,Y
A0PJX8,TMEM82,TMM82_HUMAN,none,none,Y
A0PJY2,FEZF1,FEZF1_HUMAN,FEZ,none,Y
A0PJY2,FEZF1,FEZF1_HUMAN,ZNF312B,none,Y
A0PJZ0,ANKRD20A5P,A20A5_HUMAN,ANKRD20A5,none,Y
A0PJZ3,GXYLT2,GXLT2_HUMAN,GLT8D4,none,Y
A0PK00,TMEM120B,T120B_HUMAN,none,none,Y
A0PK05,TMEM72,TMM72_HUMAN,C10orf127,none,Y
A0PK05,TMEM72,TMM72_HUMAN,KSP37,none,Y
A0PK11,CLRN2,CLRN2_HUMAN,none,none,Y
A0ZSE6,TMEM30CP,CC50C_HUMAN,TMEM30C,none,Y
A0ZSE6,TMEM30CP,CC50C_HUMAN,CDC50C,none,Y
A1A4F0,SLC66A1L,S66AL_HUMAN,C3orf55,none,Y
A1A4F0,SLC66A1L,S66AL_HUMAN,PQLC2L,none,Y
A1A4G5,LNP1,LNP1_HUMAN,NP3,none,Y
